DATE,USD
3122,4.0424
4122,4.0468
5122,4.0396
7122,4.0279
10122,4.0064
11122,4.0106
12122,3.9879
13122,3.9463
14122,3.9597
17122,3.9567
18122,3.9734
19122,3.993
20122,3.9833
21122,3.9953
24122,4.0049
25122,4.0593
26122,4.0684
27122,4.083
28122,4.1048
31122,4.1147
1222,4.0689
2222,4.0283
3222,4.0267
4222,3.9657
7222,3.9872
8222,3.9693
9222,3.953
10222,3.9218
11222,3.9665
14222,4.0439
15222,3.974
16222,3.9478
17222,3.9687
18222,3.9798
21222,3.9769
22222,4.012
23222,3.9937
24222,4.1281
25222,4.1683
28222,4.1965
1322,4.2193
2322,4.3302
3322,4.3257
4322,4.391
7322,4.5722
8322,4.5115
9322,4.4147
10322,4.3482
11322,4.3694
14322,4.3221
15322,4.2992
16322,4.2828
17322,4.2403
18322,4.2707
21322,4.2444
22322,4.272
23322,4.2772
24322,4.331
25322,4.3125
28322,4.2784
29322,4.2917
30322,4.1688
31322,4.1801
1422,4.1978
4422,4.2073
5422,4.2233
6422,4.2606
7422,4.2727
8422,4.2703
11422,4.2586
12422,4.2926
13422,4.2872
14422,4.2581
15422,4.2865
19422,4.2887
20422,4.2708
21422,4.2596
22422,4.2935
25422,4.3188
26422,4.3469
27422,4.4453
28422,4.4613
29422,4.4072
2522,4.4454
4522,4.4456
5522,4.4017
6522,4.4502
9522,4.4784
10522,4.4223
11522,4.419
12522,4.4863
13522,4.4849
16522,4.4785
17522,4.4379
18522,4.4279
19522,4.4231
20522,4.3832
23522,4.3369
24522,4.3071
25522,4.3069
26522,4.3189
27522,4.2966
30522,4.2617
31522,4.2651
1622,4.2817
2622,4.2931
3622,4.2689
6622,4.2675
7622,4.2935
8622,4.2904
9622,4.2764
10622,4.3363
13622,4.4209
14622,4.4478
15622,4.4455
17622,4.463
20622,4.44
21622,4.3917
22622,4.4338
23622,4.4881
24622,4.4656
27622,4.4369
28622,4.4377
29622,4.4533
30622,4.4825
1722,4.5106
4722,4.5032
5722,4.5947
6722,4.6796
7722,4.7029
8722,4.7417
11722,4.7416
12722,4.8284
13722,4.8221
14722,4.8274
15722,4.7966
18722,4.7152
19722,4.6594
20722,4.6524
21722,4.6682
22722,4.692
25722,4.6171
26722,4.6222
27722,4.7142
28722,4.6952
29722,4.6365
1822,4.629
2822,4.5984
3822,4.6164
4822,4.634
5822,4.6024
8822,4.6127
9822,4.5919
10822,4.6112
11822,4.5206
12822,4.5459
16822,4.6282
17822,4.6119
18822,4.6468
19822,4.7061
22822,4.7427
23822,4.803
24822,4.8029
25822,4.7546
26822,4.7465
29822,4.7821
30822,4.721
31822,4.736
1922,4.6959
2922,4.7276
5922,4.769
6922,4.7367
7922,4.7584
8922,4.7268
9922,4.6599
12922,4.6225
13922,4.6363
14922,4.7233
15922,4.7202
16922,4.7384
19922,4.7255
20922,4.7118
21922,4.7919
22922,4.8343
23922,4.8796
26922,4.9113
27922,4.9476
28922,5.0381
29922,5.0328
30922,4.9533
31022,4.9207
41022,4.8615
51022,4.838
61022,4.8989
71022,4.9588
101022,5.0239
111022,5.0171
121022,5.0014
131022,4.9905
141022,4.9569
171022,4.9522
181022,4.8929
191022,4.8892
201022,4.9024
211022,4.9
241022,4.8669
251022,4.8499
261022,4.7538
271022,4.7216
281022,4.7477
311022,4.734
21122,4.7485
31122,4.8291
41122,4.7975
71122,4.6926
81122,4.6893
91122,4.6817
101122,4.7328
141122,4.5383
151122,4.5143
161122,4.505
171122,4.5387
181122,4.5337
211122,4.5991
221122,4.5844
231122,4.548
241122,4.5101
251122,4.5111
281122,4.4827
291122,4.5164
301122,4.5066
11222,4.4911
21222,4.4492
51222,4.4415
61222,4.4787
71222,4.4834
81222,4.476
91222,4.4351
121222,4.4424
131222,4.4527
141222,4.3973
151222,4.41
161222,4.4227
191222,4.4153
201222,4.4001
211222,4.3947
221222,4.3726
231222,4.37
271222,4.3671
281222,4.4127
291222,4.4078
301222,4.4018
2123,4.3811
3123,4.4373
4123,4.3998
5123,4.397
9123,4.401
10123,4.372
11123,4.3639
12123,4.3556
13123,4.3272
16123,4.3436
17123,4.3398
18123,4.3322
19123,4.3469
20123,4.352
23123,4.3242
24123,4.3341
25123,4.3265
26123,4.3354
27123,4.3252
30123,4.3258
31123,4.348
1223,4.3254
2223,4.2803
3223,4.2928
6223,4.3833
7223,4.4325
8223,4.4074
9223,4.4003
10223,4.4565
13223,4.4856
14223,4.4463
15223,4.4372
16223,4.4601
17223,4.4888
20223,4.4515
21223,4.4524
22223,4.4687
23223,4.4873
24223,4.463
27223,4.4697
28223,4.4475
1323,4.4094
2323,4.4002
3323,4.4341
6323,4.4289
7323,4.3981
8323,4.4626
9323,4.4356
10323,4.4266
13323,4.3906
14323,4.3793
15323,4.403
16323,4.4248
17323,4.4202
20323,4.413
21323,4.3715
22323,4.3467
23323,4.3011
24323,4.3742
27323,4.3518
28323,4.33
29323,4.3247
30323,4.3043
31323,4.2934
3423,4.3168
4423,4.2855
5423,4.2739
6423,4.3033
7423,4.2932
11423,4.2917
12423,4.2713
13423,4.2225
14423,4.2042
17423,4.2261
18423,4.2151
19423,4.2244
20423,4.2024
21423,4.2006
24423,4.1905
25423,4.1649
26423,4.1557
27423,4.1541
28423,4.1753
2523,4.1823
4523,4.1547
5523,4.1612
8523,4.1384
9523,4.1609
10523,4.1532
11523,4.1414
12523,4.1638
15523,4.149
16523,4.1228
17523,4.1504
18523,4.1929
19523,4.2053
22523,4.1881
23523,4.1634
24523,4.1573
25523,4.1994
26523,4.2156
29523,4.2234
30523,4.2242
31523,4.2559
1623,4.2399
2623,4.1903
5623,4.1933
6623,4.1964
7623,4.1887
9623,4.1545
12623,4.1169
13623,4.1439
14623,4.1393
15623,4.1203
16623,4.0715
19623,4.068
20623,4.058
21623,4.0648
22623,4.033
23623,4.0893
26623,4.0669
27623,4.0481
28623,4.0719
29623,4.0832
30623,4.1066
3723,4.0714
4723,4.0636
5723,4.0869
6723,4.1191
7723,4.1189
